2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:19:13,040.FinalProject.INFO Prepared binary message b'[1715631,B-]'....
2023-10-06 23:19:13,062.FinalProject.INFO Prepared binary message b'[1715631,2.70]'....
2023-10-06 23:19:18,087.FinalProject.INFO Prepared binary message b'[1715631,B+]'....
2023-10-06 23:19:18,087.FinalProject.INFO Prepared binary message b'[1715631,3.30]'....
2023-10-06 23:19:23,105.FinalProject.INFO Prepared binary message b'[1715631,C]'....
2023-10-06 23:19:23,107.FinalProject.INFO Prepared binary message b'[1715631,2.00]'....
2023-10-06 23:19:28,138.FinalProject.INFO Prepared binary message b'[1715631,B-]'....
2023-10-06 23:19:28,149.FinalProject.INFO Prepared binary message b'[1715631,2.70]'....
2023-10-06 23:19:33,176.FinalProject.INFO Prepared binary message b'[1715631,D]'....
2023-10-06 23:19:33,203.FinalProject.INFO Prepared binary message b'[1715631,1.00]'....
2023-10-06 23:19:38,247.FinalProject.INFO Prepared binary message b'[1715631,C-]'....
2023-10-06 23:19:38,247.FinalProject.INFO Prepared binary message b'[1715631,1.70]'....
2023-10-06 23:19:43,270.FinalProject.INFO Prepared binary message b'[1715631,C-]'....
2023-10-06 23:19:43,292.FinalProject.INFO Prepared binary message b'[1715631,1.70]'....
2023-10-06 23:19:48,337.FinalProject.INFO Prepared binary message b'[1715631,C+]'....
2023-10-06 23:19:48,339.FinalProject.INFO Prepared binary message b'[1715631,2.30]'....
2023-10-06 23:19:53,379.FinalProject.INFO Prepared binary message b'[1715631,A]'....
2023-10-06 23:19:53,392.FinalProject.INFO Prepared binary message b'[1715631,4.00]'....
2023-10-06 23:19:58,406.FinalProject.INFO Prepared binary message b'[1715631,C-]'....
2023-10-06 23:19:58,422.FinalProject.INFO Prepared binary message b'[1715631,1.70]'....
2023-10-06 23:20:03,451.FinalProject.INFO Prepared binary message b'[1715631,C-]'....
2023-10-06 23:20:03,467.FinalProject.INFO Prepared binary message b'[1715631,1.70]'....
2023-10-06 23:20:08,492.FinalProject.INFO Prepared binary message b'[1716043,A]'....
2023-10-06 23:20:08,492.FinalProject.INFO Prepared binary message b'[1716043,4.00]'....
2023-10-06 23:20:13,518.FinalProject.INFO Prepared binary message b'[1716043,A]'....
2023-10-06 23:20:13,528.FinalProject.INFO Prepared binary message b'[1716043,4.00]'....
2023-10-06 23:20:18,539.FinalProject.INFO Prepared binary message b'[1716296,B]'....
2023-10-06 23:20:18,539.FinalProject.INFO Prepared binary message b'[1716296,3.00]'....
2023-10-06 23:20:23,564.FinalProject.INFO Prepared binary message b'[1716296,A-]'....
2023-10-06 23:20:23,581.FinalProject.INFO Prepared binary message b'[1716296,3.70]'....
2023-10-06 23:20:28,630.FinalProject.INFO Prepared binary message b'[1716296,B]'....
